standard_sort	unit_id	parent_unit_id	unit_name	strat_index	rank	start_age_ma	end_age_ma	start_age_err_ma	font_color	cmyk	cyan	magenta	yellow	black	rgb	red	green	blue	html_rgb_hash
166	44	30	Terreneuvian	Cmb1-1	Series	~ 521	538.8 ±0.2		Black	45/15/55/0	45	15	55	0	140/176/108	140	176	108	#8CB06C
167	30	13	Cambrian	Cmb	System	485.4 ±1.9	538.8 ±0.2		White	50/20/65/0	50	20	65	0	127/160/86	127	160	86	#7FA056
168	13	5	Paleozoic	PZ	Erathem	251.902 ±0.024	538.8 ±0.2		Black	40/10/40/0	40	10	40	0	153/192/141	153	192	141	#99C08D
169	5		Phanerozoic		Eonothem	0	538.8 ±0.2		Black	40/0/5/0	40	0	5	0	154/217/221	154	217	221	#9AD9DD
170	29	12	Ediacaran		System	538.8 ±0.2	~ 635		Black	0/15/55/0	0	15	55	0	254/217/106	254	217	106	#FED96A
171	28	12	Cryogenian		System	~ 635	~ 720		Black	0/20/60/0	0	20	60	0	254/204/92	254	204	92	#FECC5C
172	27	12	Tonian		System	~ 720	1000		Black	0/25/65/0	0	25	65	0	254/191/78	254	191	78	#FEBF4E
173	12	4	Neoproterozoic		Erathem	538.8 ±0.2	1000		Black	0/30/70/0	0	30	70	0	254/179/66	254	179	66	#FEB342
174	26	11	Stenian		System	1000	1200		Black	0/15/35/0	0	15	35	0	254/217/154	254	217	154	#FED99A
175	25	11	Ectasian		System	1200	1400		Black	0/20/40/0	0	20	40	0	253/204/138	253	204	138	#FDCC8A
176	24	11	Calymmian		System	1400	1600		Black	0/24/45/0	0	24	45	0	253/192/122	253	192	122	#FDC07A
177	11	4	Mesoproterozoic		Erathem	1000	1600		Black	0/30/55/0	0	30	55	0	253/180/98	253	180	98	#FDB462
178	23	10	Statherian		System	1600	1800		Black	0/55/10/0	0	55	10	0	248/117/167	248	117	167	#F875A7
179	22	10	Orosirian		System	1800	2050		Black	0/60/15/0	0	60	15	0	247/104/152	247	104	152	#F76898
180	21	10	Rhyacian		System	2050	2300		Black	0/65/20/0	0	65	20	0	247/91/137	247	91	137	#F75B89
181	20	10	Siderian		System	2300	2500		Black	0/70/25/0	0	70	25	0	247/79/124	247	79	124	#F74F7C
182	10	4	Paleoproterozoic		Erathem	1600	2500		Black	0/75/30/0	0	75	30	0	247/67/112	247	67	112	#F74370
183	4	1	Proterozoic	PR	Eonothem	538.8 ±0.2	2500		Black	0/80/35/0	0	80	35	0	247/53/99	247	53	99	#F73563
184	19	3	unnamed1		System	2500	2800		None	0/35/5/0	0	35	5	0	250/167/200	250	167	200	#FAA7C8
185	9	3	Neoarchean		Erathem	2500	2800		Black	0/40/5/0	0	40	5	0	249/155/193	249	155	193	#F99BC1
186	18	3	unnamed2		System	2800	3200		None	0/50/5/0	0	50	5	0	248/129/181	248	129	181	#F881B5
187	8	3	Mesoarchean		Erathem	2800	3200		Black	0/60/5/0	0	60	5	0	247/104/169	247	104	169	#F768A9
188	17	3	unnamed3		System	3200	3600		None	0/60/0/0	0	60	0	0	246/104/178	246	104	178	#F668B2
189	7	3	Paleoarchean		Erathem	3200	3600		Black	0/75/0/0	0	75	0	0	244/68/159	244	68	159	#F4449F
190	16	3	unnamed4		System	3600	4031 ± 3		None	5/90/0/0	5	90	0	0	230/29/140	230	29	140	#E61D8C
191	6	3	Eoarchean		Erathem	3600	4031 ± 3		Black	10/100/0/0	10	100	0	0	218/3/127	218	3	127	#DA037F
192	3	1	Archean	AR	Eonothem	2500	4031 ± 3		Black	0/100/0/0	0	100	0	0	240/4/127	240	4	127	#F0047F
193	2	1	Hadean	HD	Eonothem	4031 ± 3	4567		White	30/100/0/0	30	100	0	0	174/2/126	174	2	126	#AE027E
194	1		Precambrian	PCMB	super-Eonothem	538.8 ±0.2	4567		Black	0/75/30/0	0	75	30	0	247/67/112	247	67	112	#F74370
